Key,Value
BPM,120.0000
StartTime,6.4283
scoreCounter,35.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0090
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,8.0468,10.0853,10.7757,11.4482,12.0815,13.0045,13.5968,14.2234,14.8858,15.8154,16.5263,17.0832,17.8234,18.4804,19.0640,19.8031,20.3955,21.0323,21.8506,22.6581,23.3295,23.9695,24.7396,25.5513,26.3589,27.0705,27.6352,28.2648,28.8553,29.4243,30.0248,30.8267,31.5723,32.2142,32.8288
Mean Interval List,0.0000,0.5146,0.4994,0.5028,0.5014,0.5054,0.5016,0.5009,0.5047,0.5035,0.4995,0.5027,0.5020,0.4995,0.5031,0.5027,0.5004,0.5049,0.5039,0.5008,0.5030,0.5015,0.5055,0.5030,0.5002,0.5026,0.5005,0.4999,0.4986,0.5036,0.5033,0.5023,0.5041,0.5018,0.5008
