Key,Value
BPM,120.0000
StartTime,8.5340
scoreCounter,28.0000
Alpha,High
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,10.1534,11.8304,12.5072,13.0609,13.5982,14.4290,15.1540,15.7833,16.3528,16.8825,17.4090,17.9382,18.4686,18.9970,19.5256,20.0551,20.5828,21.1090,21.6349,22.1610,22.6850,23.2094,23.7339,24.2591,24.7817,25.3051,25.8322,26.3551
Mean Interval List,0.0000,0.5469,0.4898,0.5092,0.5085,0.5086,0.5178,0.5081,0.5038,0.5040,0.5049,0.5051,0.5041,0.5057,0.5051,0.5039,0.5020,0.5021,0.5018,0.5019,0.5012,0.5008,0.5015,0.5005,0.5005,0.5029,0.4994,0.5006
Timestamps,4.3494,4.7480,5.1221,5.6427,6.1457,6.6161,7.0982,7.5570,8.0443,8.5340,8.8056,9.4178,9.9914,10.5446,11.0888,11.6252,12.1659,12.6889,13.2283,13.7683,14.2970,14.7822,15.3131,15.8556,16.4292,16.9757,17.5061,18.0164,18.5778,19.0934,19.5986,20.0900,20.6192,21.1389,21.6669,22.1797,22.6967,23.2345,23.7388,24.2642,24.8336,25.2886,25.8391,26.2938
Player1OnsetTimes,9.7756,11.8767,12.7186,13.1970,13.5753,14.4409,14.9867,16.0444,16.6989,17.0416,17.3171,17.7322,18.3317,19.0111,19.6293,20.1546,20.6026,21.0450,21.5556,22.1313,22.7122,23.2504,23.7543,24.2484,24.7544,25.2886,25.8391,26.3739
Player2OnsetTimes,10.1752,11.7369,12.2923,12.8797,13.5753,14.2490,15.3431,16.0142,16.4107,16.7799,17.2665,17.8730,18.5133,19.0934,19.5986,20.0573,20.5403,21.0607,21.6180,22.1797,22.7280,23.2504,23.7543,24.2484,24.7544,25.2886,25.8391,26.3739
Player3OnsetTimes,9.9914,12.0759,12.7654,13.1015,13.4479,14.4409,15.0835,15.6175,16.2055,16.8584,17.4891,18.0317,18.4976,18.9637,19.4715,20.0250,20.5868,21.1389,21.6669,22.1797,22.6807,23.1859,23.7069,24.2484,24.7848,25.3191,25.8391,26.3572
Player4OnsetTimes,10.6682,11.7061,12.0949,13.2912,14.1261,14.4878,15.0519,15.5558,16.1577,16.8429,17.5061,18.0623,18.5133,18.9481,19.4405,19.9931,20.5710,21.1389,21.6669,22.1629,22.6650,23.1859,23.7224,24.2642,24.8002,25.3191,25.8222,26.3255
Player5OnsetTimes,10.1903,11.7680,12.3072,12.8651,13.5411,14.8918,15.4675,15.6675,16.2709,16.8765,17.4579,17.9832,18.4817,18.9798,19.5028,20.0410,20.5868,21.1223,21.6502,22.1629,22.6807,23.2011,23.7224,24.2484,24.7848,25.3191,25.8391,26.3572
Player6OnsetTimes,9.7904,11.8767,12.7186,13.1970,13.5753,14.4409,14.9867,16.0444,16.6989,17.0416,17.3171,17.7322,18.3317,19.0111,19.6293,20.1388,20.5868,21.0450,21.5713,22.1469,22.7122,23.2504,23.7543,24.2484,24.7544,25.2886,25.8391,26.3739
Player7OnsetTimes,9.7605,11.8613,12.7186,13.2117,13.5914,14.4409,14.9714,16.0295,16.6989,17.0592,17.3326,17.7322,18.3150,18.9956,19.6293,20.1546,20.6026,21.0450,21.5556,22.1313,22.7122,23.2504,23.7543,24.2484,24.7544,25.2886,25.8391,26.3739
Player8OnsetTimes,11.4007,11.9228,12.4463,12.8797,13.4479,14.7518,15.3901,15.6826,16.3790,16.9576,17.4579,17.9205,18.3937,18.9165,19.4876,20.0573,20.6026,21.1076,21.6022,22.1146,22.6492,23.2011,23.7388,24.2642,24.7694,25.2703,25.7917,26.3255
