Key,Value
BPM,60.0000
StartTime,13.6958
scoreCounter,26.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,15.3668,17.0962,18.2267,19.2737,20.3144,21.3507,22.3837,23.4126,24.4343,25.4542,26.4715,27.4902,28.5119,29.5326,30.5559,31.5774,32.6051,33.6366,34.6667,35.6933,36.7244,37.7537,38.7810,39.8043,40.8293,41.8530
Mean Interval List,0.0000,1.0619,1.0238,1.0163,1.0133,1.0092,1.0047,0.9985,0.9957,0.9948,0.9952,0.9979,0.9979,0.9975,0.9984,1.0000,1.0043,1.0054,1.0049,1.0058,1.0041,1.0037,1.0004,1.0007,0.9987,0.9991
Timestamps,4.8353,5.6436,6.7256,7.7854,8.7672,9.8002,10.7652,11.7559,12.7249,13.6958,14.6314,15.5955,16.6018,17.5679,18.5492,19.5361,20.4934,21.4388,22.3491,23.3213,24.3262,25.3547,26.4246,27.4436,28.4584,29.4958,30.5511,31.6600,32.7094,33.7295,34.7786,35.7712,36.7935,37.7571,38.7903,39.7732,40.8070,41.8501
Player1OnsetTimes,14.8467,16.9435,18.4095,19.5666,20.4767,21.2987,22.2227,23.2889,24.4372,25.5565,26.5842,27.5373,28.4733,29.4636,30.5118,31.5825,32.6459,33.6663,34.6665,35.6769,36.7121,37.7571,38.7903,39.8198,40.8374,41.8501
Player2OnsetTimes,15.3273,16.8983,18.0103,19.2058,20.3991,21.4892,22.4589,23.3867,24.3576,25.4016,26.4741,27.5373,28.5600,29.5577,30.5511,31.5513,32.5823,33.6337,34.6818,35.7237,36.7441,37.7571,38.7732,39.8035,40.8374,41.8649
Player3OnsetTimes,16.0926,17.1459,17.6945,18.6915,20.1198,21.5823,22.7662,23.6329,24.3735,25.2313,26.2948,27.4733,28.6208,29.6505,30.5977,31.5362,32.5252,33.5855,34.6665,35.7391,36.7770,37.7719,38.7571,39.7732,40.8221,41.8649
Player4OnsetTimes,16.1700,17.2238,17.7247,18.6759,20.0742,21.5514,22.7662,23.6477,24.3898,25.2313,26.2788,27.4585,28.6208,29.6656,30.6137,31.5362,32.5099,33.5702,34.6665,35.7391,36.7770,37.7719,38.7571,39.7732,40.8070,41.8501
Player5OnsetTimes,15.1236,17.2238,18.4861,19.4405,20.2911,21.2053,22.2538,23.3867,24.4979,25.5403,26.5060,27.4585,28.4584,29.4958,30.5511,31.5982,32.6304,33.6505,34.6665,35.6769,36.7121,37.7571,38.7903,39.8035,40.8221,41.8501
Player6OnsetTimes,15.0622,17.1608,18.4711,19.4714,20.3371,21.2359,22.2538,23.3696,24.4826,25.5403,26.5212,27.4733,28.4584,29.4958,30.5511,31.5982,32.6304,33.6505,34.6665,35.6769,36.7121,37.7571,38.7903,39.8035,40.8221,41.8501
Player7OnsetTimes,16.5391,17.0679,17.7555,18.8134,20.1799,21.5514,22.6738,23.5576,24.3576,25.2622,26.3253,27.4733,28.5906,29.6196,30.5815,31.5362,32.5484,33.6018,34.6665,35.7237,36.7441,37.7406,38.7571,39.7884,40.8221,41.8501
Player8OnsetTimes,14.8621,16.9601,18.4095,19.5666,20.4767,21.2987,22.2071,23.2729,24.4206,25.5403,26.5677,27.5215,28.4733,29.4789,30.5345,31.5982,32.6459,33.6663,34.6665,35.6769,36.7121,37.7571,38.7903,39.8198,40.8374,41.8501
Player9OnsetTimes,15.1848,17.2862,18.5022,19.4086,20.2444,21.1742,22.2538,23.4017,24.5132,25.5403,26.5060,27.4585,28.4584,29.4958,30.5511,31.5982,32.6304,33.6505,34.6665,35.6769,36.7121,37.7571,38.7903,39.8035,40.8221,41.8501
Player10OnsetTimes,14.9847,17.0991,18.4711,19.5188,20.3829,21.2359,22.2227,23.3368,24.4826,25.5565,26.5370,27.4902,28.4584,29.4789,30.5511,31.6135,32.6459,33.6505,34.6499,35.6618,36.6972,37.7406,38.7903,39.8198,40.8374,41.8501
Player11OnsetTimes,16.5701,17.0991,17.7093,18.7375,20.1499,21.5670,22.7204,23.5877,24.3576,25.2475,26.3096,27.4733,28.6055,29.6353,30.5815,31.5205,32.5252,33.5855,34.6665,35.7237,36.7441,37.7406,38.7571,39.7884,40.8221,41.8501
