Key,Value
BPM,60.0000
StartTime,71.6513
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,73.2795,74.8109,75.8780,76.8903,77.9117,78.9254,79.9429,80.9646,81.9786,83.0012,84.0280,85.0489,86.0714,87.1112,88.1444,89.1753,90.2070,91.2410,92.2752,93.3087,94.3478,95.3914,96.4276,97.4553,98.4773,99.5052,100.5359,101.5775,102.6132,103.6444
Mean Interval List,0.0000,1.0372,0.9818,0.9909,0.9817,0.9871,0.9889,0.9852,0.9922,0.9942,0.9915,0.9939,1.0042,1.0052,1.0006,1.0027,1.0057,1.0037,1.0037,1.0037,1.0094,1.0095,0.9972,0.9952,1.0005,1.0003,1.0057,1.0018,0.9997,0.9958
Timestamps,62.5408,63.6124,64.6098,65.6210,66.6237,67.6163,68.6102,69.5750,70.6112,71.6513,72.6502,73.6511,74.6289,75.7870,76.7074,77.7826,78.8147,79.7954,80.8873,81.9215,82.9165,83.9682,85.0915,86.1239,87.1181,88.1718,89.2331,90.2450,91.2782,92.3124,93.4029,94.4432,95.3639,96.3802,97.4606,98.4812,99.5623,100.5540,101.5743,102.5711,103.6523
