Key,Value
BPM,60.0000
StartTime,12.6481
scoreCounter,63.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0090
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,14.2716,16.2192,17.3108,18.4575,19.4859,21.0381,22.3602,23.4498,24.7887,26.0069,27.0649,28.2086,29.4599,30.9382,32.2476,33.4871,34.8124,35.9202,36.9803,38.0339,39.2194,40.2553,41.2977,42.3231,43.3835,44.4118,45.4575,46.4829,47.5291,48.5567,49.5964,50.6228,51.6481,52.6739,53.7001,54.7254,55.7523,56.7766,57.8053,58.8305,59.8560,60.8801,61.9062,62.9322,63.9577,64.9867,66.0101,67.0339,68.0611,69.0863,70.1146,71.1414,72.1667,73.1920,74.2165,75.2418,76.2660,77.2930,78.3162,79.3403,80.3690,81.3931,82.4200
Mean Interval List,0.0000,1.0141,1.0046,1.0039,1.0025,1.0028,0.9978,1.0054,1.0052,1.0018,0.9998,0.9989,0.9984,1.0068,1.0018,0.9988,1.0073,1.0041,1.0033,1.0035,1.0039,1.0014,1.0009,1.0011,1.0028,1.0014,1.0012,1.0010,1.0008,0.9996,1.0005,0.9996,1.0004,0.9999,1.0000,1.0001,1.0006,0.9998,1.0003,0.9997,1.0000,1.0006,1.0006,1.0003,1.0009,1.0004,0.9994,1.0002,1.0006,1.0009,1.0004,1.0009,0.9995,0.9999,0.9997,0.9999,1.0003,1.0002,1.0001,0.9997,1.0000,0.9997,1.0006
Timestamps,3.3799,4.6307,5.5929,6.5884,7.5704,8.6349,9.5651,10.6718,11.6130,12.6481,13.5543,14.6296,15.6705,16.6584,17.6756,18.6850,19.7409,20.7980,21.8434,22.8665,23.9345,24.9295,25.9559,26.9248,28.0124,29.0645,30.0980,31.0820,32.0885,33.0832,34.1697,35.1691,36.1990,37.2750,38.3702,39.2964,40.2864,41.3490,42.5462,43.4616,44.4659,45.4903,46.4962,47.4247,48.5453,49.4998,50.6014,51.5827,52.6139,53.6539,54.7231,55.6768,56.7492,57.7204,58.7748,59.8589,60.8850,61.8836,62.9691,63.9439,64.8737,65.9793,67.0423,68.0997,69.0754,70.1476,71.0318,72.0987,73.1039,74.1548,75.2229,76.2311,77.2482,78.2368,79.2855,80.2850,81.4045,82.4221
