Key,Value
BPM,60.0000
StartTime,10.8145
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,0.0000
Mean Onset List,12.4816,14.2721,15.4346,16.5184,17.5839,18.6437,19.6910,20.7390,21.7845,22.8418,23.8869,24.9265,25.9594,26.9853
Mean Interval List,0.0000,1.1313,1.0585,1.0424,1.0354,1.0238,1.0228,1.0222,1.0323,1.0225,1.0166,1.0101,1.0017,0.9972
Timestamps,3.0847,3.6420,4.5210,5.2458,5.8247,6.6045,7.8851,8.9445,9.8114,10.8145,11.8564,12.8706,13.7928,14.8549,15.8565,16.8699,17.8193,18.8686,19.9094,21.0582,22.0052,23.0039,23.9839,24.9393,25.9271,27.0001
