Key,Value
BPM,60.0000
StartTime,0.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0100
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,35.9828,37.7787,38.8562,40.2278,41.2687,42.8691,44.0033,45.3432,46.6978,48.2534,49.7994,51.0109,52.1418,53.1775,54.2631,55.3305,56.4137,57.6365,58.7207,60.0941,61.3732,62.7637,64.1158,65.7222,67.0720,68.4496,69.8252
Mean Interval List,0.0000,1.0109,0.9993,1.0022,1.0038,1.0083,0.9997,1.0042,1.0057,1.0072,1.0070,1.0068,1.0036,1.0000,0.9982,1.0043,1.0019,1.0065,1.0022,1.0062,1.0073,1.0088,1.0025,1.0109,1.0025,1.0106,1.0033
Timestamps,29.3052,29.9842,30.6488,31.2448,31.7882,32.3121,32.7767,33.2378,33.7410,34.1747,34.6357,35.1939,35.7487,36.3403,37.0635,37.6990,38.3903,39.0686,39.8405,40.5917,41.2443,42.0740,42.8115,43.6481,44.3984,45.1597,45.8802,46.6765,47.3763,48.1687,48.9120,49.6845,50.4312,51.3166,52.0882,52.9460,53.7895,54.6326,55.4606,56.2349,56.9976,57.7904,58.5154,59.2659,60.0182,60.7483,61.4407,62.1702,62.9250,63.6458,64.3788,65.1047,65.8744,66.5947,67.2854,68.0243,68.6689,69.3113,69.9551,70.5472
