Key,Value
BPM,60.0000
StartTime,24.0994
scoreCounter,1.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,No mean onset values recorded.
Mean Interval List,No mean interval values recorded.
Timestamps,17.1963,18.0735,19.0397,20.0402,21.0522,22.0329,22.8909,23.7530,23.9305,24.0994
Player1OnsetTimes,No PlayerOnsetTimes recorded.
Player2OnsetTimes,No PlayerOnsetTimes recorded.
Player3OnsetTimes,No PlayerOnsetTimes recorded.
Player4OnsetTimes,No PlayerOnsetTimes recorded.
Player5OnsetTimes,No PlayerOnsetTimes recorded.
Player6OnsetTimes,No PlayerOnsetTimes recorded.
Player7OnsetTimes,No PlayerOnsetTimes recorded.
Player8OnsetTimes,No PlayerOnsetTimes recorded.
Player9OnsetTimes,No PlayerOnsetTimes recorded.
Player10OnsetTimes,No PlayerOnsetTimes recorded.
Player11OnsetTimes,No PlayerOnsetTimes recorded.
Player12OnsetTimes,No PlayerOnsetTimes recorded.
Player13OnsetTimes,No PlayerOnsetTimes recorded.
Player14OnsetTimes,No PlayerOnsetTimes recorded.
Player15OnsetTimes,No PlayerOnsetTimes recorded.
Player16OnsetTimes,No PlayerOnsetTimes recorded.
Player17OnsetTimes,No PlayerOnsetTimes recorded.
Player18OnsetTimes,No PlayerOnsetTimes recorded.
Player19OnsetTimes,No PlayerOnsetTimes recorded.
Player20OnsetTimes,No PlayerOnsetTimes recorded.
Player21OnsetTimes,No PlayerOnsetTimes recorded.
Player22OnsetTimes,No PlayerOnsetTimes recorded.
Player23OnsetTimes,No PlayerOnsetTimes recorded.
Player24OnsetTimes,No PlayerOnsetTimes recorded.
Player25OnsetTimes,No PlayerOnsetTimes recorded.
Player26OnsetTimes,No PlayerOnsetTimes recorded.
Player27OnsetTimes,No PlayerOnsetTimes recorded.
Player28OnsetTimes,No PlayerOnsetTimes recorded.
Player29OnsetTimes,No PlayerOnsetTimes recorded.
Player30OnsetTimes,No PlayerOnsetTimes recorded.
Player31OnsetTimes,No PlayerOnsetTimes recorded.
Player32OnsetTimes,No PlayerOnsetTimes recorded.
Player33OnsetTimes,No PlayerOnsetTimes recorded.
Player34OnsetTimes,No PlayerOnsetTimes recorded.
Player35OnsetTimes,No PlayerOnsetTimes recorded.
Player36OnsetTimes,No PlayerOnsetTimes recorded.
Player37OnsetTimes,No PlayerOnsetTimes recorded.
Player38OnsetTimes,No PlayerOnsetTimes recorded.
Player39OnsetTimes,No PlayerOnsetTimes recorded.
Player40OnsetTimes,No PlayerOnsetTimes recorded.
Player41OnsetTimes,No PlayerOnsetTimes recorded.
Player42OnsetTimes,No PlayerOnsetTimes recorded.
Player43OnsetTimes,No PlayerOnsetTimes recorded.
Player44OnsetTimes,No PlayerOnsetTimes recorded.
Player45OnsetTimes,No PlayerOnsetTimes recorded.
Player46OnsetTimes,No PlayerOnsetTimes recorded.
Player47OnsetTimes,No PlayerOnsetTimes recorded.
Player48OnsetTimes,No PlayerOnsetTimes recorded.
Player49OnsetTimes,No PlayerOnsetTimes recorded.
Player50OnsetTimes,No PlayerOnsetTimes recorded.
Player51OnsetTimes,No PlayerOnsetTimes recorded.
Player52OnsetTimes,No PlayerOnsetTimes recorded.
Player53OnsetTimes,No PlayerOnsetTimes recorded.
Player54OnsetTimes,No PlayerOnsetTimes recorded.
Player55OnsetTimes,No PlayerOnsetTimes recorded.
Player56OnsetTimes,No PlayerOnsetTimes recorded.
Player57OnsetTimes,No PlayerOnsetTimes recorded.
Player58OnsetTimes,No PlayerOnsetTimes recorded.
Player59OnsetTimes,No PlayerOnsetTimes recorded.
Player60OnsetTimes,No PlayerOnsetTimes recorded.
Player61OnsetTimes,No PlayerOnsetTimes recorded.
Player62OnsetTimes,No PlayerOnsetTimes recorded.
Player63OnsetTimes,No PlayerOnsetTimes recorded.
Player64OnsetTimes,No PlayerOnsetTimes recorded.
Player65OnsetTimes,No PlayerOnsetTimes recorded.
Player66OnsetTimes,No PlayerOnsetTimes recorded.
Player67OnsetTimes,No PlayerOnsetTimes recorded.
Player68OnsetTimes,No PlayerOnsetTimes recorded.
Player69OnsetTimes,No PlayerOnsetTimes recorded.
Player70OnsetTimes,No PlayerOnsetTimes recorded.
Player71OnsetTimes,No PlayerOnsetTimes recorded.
Player72OnsetTimes,No PlayerOnsetTimes recorded.
Player73OnsetTimes,No PlayerOnsetTimes recorded.
Player74OnsetTimes,No PlayerOnsetTimes recorded.
Player75OnsetTimes,No PlayerOnsetTimes recorded.
Player76OnsetTimes,No PlayerOnsetTimes recorded.
Player77OnsetTimes,No PlayerOnsetTimes recorded.
Player78OnsetTimes,No PlayerOnsetTimes recorded.
Player79OnsetTimes,No PlayerOnsetTimes recorded.
Player80OnsetTimes,No PlayerOnsetTimes recorded.
Player81OnsetTimes,No PlayerOnsetTimes recorded.
Player82OnsetTimes,No PlayerOnsetTimes recorded.
Player83OnsetTimes,No PlayerOnsetTimes recorded.
Player84OnsetTimes,No PlayerOnsetTimes recorded.
Player85OnsetTimes,No PlayerOnsetTimes recorded.
Player86OnsetTimes,No PlayerOnsetTimes recorded.
Player87OnsetTimes,No PlayerOnsetTimes recorded.
Player88OnsetTimes,No PlayerOnsetTimes recorded.
Player89OnsetTimes,No PlayerOnsetTimes recorded.
Player90OnsetTimes,No PlayerOnsetTimes recorded.
Player91OnsetTimes,No PlayerOnsetTimes recorded.
Player92OnsetTimes,No PlayerOnsetTimes recorded.
Player93OnsetTimes,No PlayerOnsetTimes recorded.
Player94OnsetTimes,No PlayerOnsetTimes recorded.
Player95OnsetTimes,No PlayerOnsetTimes recorded.
Player96OnsetTimes,No PlayerOnsetTimes recorded.
