Key,Value
BPM,60.0000
StartTime,11.1312
scoreCounter,61.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,12.8140,14.9186,16.0449,17.1395,18.1743,19.7260,21.0065,22.0813,23.1241,24.1629,25.2017,26.2426,27.2813,28.3221,29.3610,30.4057,31.4458,32.4854,33.5190,34.5539,35.5934,36.6344,37.6741,38.7104,39.7425,40.7692,41.7979,42.8262,43.8567,44.8916,45.9231,46.9517,47.9842,49.0167,50.0470,51.0746,52.1043,53.1372,54.1689,55.1926,56.2178,57.2412,58.2682,59.3022,60.3369,61.3716,62.4067,63.4340,64.4621,65.4879,66.5092,67.5318,68.5576,69.5802,70.6055,71.6341,72.6626,73.6927,74.7193,75.7395,76.7690
Mean Interval List,0.0000,1.0678,1.0128,1.0090,1.0024,0.9995,1.0303,1.0184,1.0131,1.0129,1.0157,1.0146,1.0158,1.0156,1.0168,1.0140,1.0128,1.0070,1.0101,1.0109,1.0124,1.0127,1.0081,1.0050,0.9992,1.0039,1.0021,1.0037,1.0042,1.0050,1.0010,1.0074,1.0056,1.0025,1.0028,1.0045,1.0028,1.0050,1.0004,1.0004,1.0015,1.0008,1.0034,1.0071,1.0086,1.0037,1.0037,1.0000,1.0016,0.9980,0.9989,0.9997,0.9996,1.0016,1.0023,1.0048,1.0036,1.0004,0.9989,0.9984,0.9949
Timestamps,1.9285,3.1059,4.0592,5.0411,5.9619,6.9841,7.9703,9.0571,10.0470,11.1312,11.9991,13.1486,14.1673,15.1722,16.2213,17.1838,18.1598,19.2484,20.3272,21.3689,22.3373,23.3762,24.4697,25.4851,26.5499,27.5834,28.6485,29.6315,30.6508,31.5743,32.6761,33.7249,34.7901,35.8352,36.7834,37.7606,38.6818,39.8081,40.7983,41.8580,42.8975,43.9433,44.8971,46.0562,47.0499,48.0201,49.0575,50.1227,51.1166,52.1889,53.1311,54.1630,55.2075,56.2193,57.2939,58.3948,59.4597,60.3950,61.4290,62.3907,63.4507,64.4060,65.4497,66.4878,67.5086,68.5739,69.6115,70.6850,71.6908,72.6543,73.6549,74.6720,75.6227,76.6663
