Key,Value
BPM,60.0000
StartTime,11.8348
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0060
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,13.5506,15.1014,16.1481,17.2690,18.2869,19.7643,21.3194,22.4312,23.8794,25.3876,26.4770,27.9683,29.4640,30.6138,31.6431,32.7153,33.7623,35.1609,36.2488,37.3089,38.3533,39.6537,40.6929,41.7165,42.7436,43.7686,44.7982,45.8261,46.8520,47.8769,48.9039,49.9341,50.9649,51.9961,53.0260,54.0598,55.0874,56.1185,57.1502,58.1812,59.2096,60.2411,61.2759
Mean Interval List,0.0000,1.0163,0.9915,0.9887,0.9861,1.0386,1.0202,0.9908,1.0351,1.0096,0.9903,1.0409,1.0161,0.9968,0.9875,0.9836,0.9862,1.0357,1.0188,1.0154,1.0136,1.0106,0.9948,0.9937,0.9940,0.9994,0.9996,0.9973,0.9926,0.9966,0.9995,0.9987,1.0004,1.0004,1.0010,0.9984,1.0005,0.9997,0.9999,0.9984,1.0002,0.9992,1.0068
Timestamps,2.1618,2.8263,3.8772,4.8354,6.8069,7.7790,8.8177,9.8027,10.8059,11.8348,12.9095,13.8769,14.9309,15.9215,16.9926,17.9975,19.0580,20.1668,21.1335,22.1445,23.1307,24.0679,25.1903,26.2555,27.2905,28.2847,29.3948,30.3601,31.3107,32.4368,33.4842,34.4718,35.5307,36.5503,37.5741,38.5588,39.5430,40.5609,41.5905,42.7255,43.7547,44.7374,45.6728,46.7784,47.8606,48.8721,49.9369,50.9668,52.0104,52.9880,54.0639,55.0768,56.1111,57.1137,58.1806,59.1878,60.3714,61.2663
