Key,Value
BPM,120.0000
StartTime,380.6976
scoreCounter,119.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0100
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,0.0000
Mean Onset List,382.3445,384.3304,385.0434,385.8155,386.5598,387.4177,388.1120,388.7881,389.4570,390.1479,390.7148,391.3282,391.9514,392.7190,393.5139,394.1756,394.8574,395.5422,396.3285,397.1526,397.8631,398.6255,399.4022,400.2122,401.0702,401.8899,402.5685,403.4019,404.1782,405.1464,405.9717,406.8284,407.7395,408.5892,409.4847,410.3895,411.2914,412.1482,413.0604,413.9534,414.7981,415.7399,416.6100,417.4914,418.3931,419.2800,420.0911,421.0525,421.8979,422.7402,423.7111,424.6152,425.4510,426.3713,427.2335,428.1263,429.0439,429.9283,430.8038,431.7057,432.5828,433.4445,434.3809,435.2428,436.1045,436.9727,437.8977,438.7787,439.7232,440.5678,441.4590,442.3793,443.1676,444.0986,445.0173,445.8660,446.7933,447.6591,448.5441,449.4620,450.3320,451.2332,452.1140,453.0108,453.8960,454.7673,455.6734,456.5739,457.4639,458.3636,459.1982,460.1202,460.9545,461.8940,462.7821,463.7025,464.5727,465.4442,466.3338,467.2386,468.0879,469.0078,469.8976,470.7756,471.6302,472.5749,473.4224,474.3075,475.1408,476.0420,476.9510,477.8633,478.7607,479.6587,480.5393,481.3871,482.2707,483.1737,484.0188
Mean Interval List,0.0000,0.5146,0.5001,0.5037,0.5014,0.5044,0.5009,0.5043,0.5030,0.5019,0.5000,0.5047,0.5040,0.5028,0.5002,0.5029,0.5019,0.5003,0.5042,0.5015,0.5037,0.5019,0.5051,0.5028,0.5049,0.5015,0.5041,0.5026,0.5042,0.5063,0.5021,0.5041,0.5065,0.5025,0.5046,0.5062,0.5025,0.5043,0.5061,0.5023,0.5038,0.5060,0.5072,0.5041,0.5055,0.5073,0.5035,0.5058,0.5068,0.5037,0.5066,0.5023,0.5037,0.5055,0.5071,0.5035,0.5049,0.5062,0.5030,0.5045,0.5058,0.5070,0.5037,0.5046,0.5058,0.5084,0.5054,0.5062,0.5031,0.5046,0.5065,0.5077,0.5043,0.5070,0.5084,0.5043,0.5061,0.5073,0.5087,0.5042,0.5053,0.5026,0.5057,0.5072,0.5089,0.5053,0.5073,0.5091,0.5054,0.5065,0.5086,0.5059,0.5072,0.5096,0.5056,0.5071,0.5089,0.5053,0.5070,0.5087,0.5052,0.5072,0.5085,0.5047,0.5066,0.5092,0.5047,0.5063,0.5081,0.5053,0.5070,0.5081,0.5090,0.5052,0.5070,0.5091,0.5057,0.5070,0.5081
Timestamps,376.1300,376.6076,377.1516,377.6675,378.1651,378.6871,379.1878,379.7109,380.1862,380.6976,381.1367,381.7204,382.2393,382.7455,383.2560,383.7908,384.3261,384.8591,385.3979,385.9375,386.4558,386.9717,387.4838,388.0043,388.5135,389.0564,389.6166,390.1156,390.6223,391.1472,391.6881,392.1858,392.7003,393.2122,393.7613,394.3155,394.8456,395.3857,395.9111,396.4305,396.9649,397.4695,397.9976,398.5356,399.0756,399.6223,400.0991,400.6322,401.1499,401.6919,402.2325,402.7545,403.2282,403.7430,404.2332,404.7249,405.2790,405.7944,406.2937,406.8524,407.3875,407.8962,408.4258,408.9570,409.4803,410.0058,410.5341,411.0914,411.6187,412.1406,412.6437,413.1816,413.6942,414.2162,414.7729,415.2744,415.7988,416.3321,416.8876,417.4014,417.9054,418.4681,418.9834,419.4878,420.0017,420.5256,421.0322,421.5775,422.1196,422.6830,423.2385,423.7819,424.3364,424.8225,425.3390,425.8372,426.3768,426.9140,427.4170,427.9081,428.4386,428.9715,429.4838,430.0504,430.5759,431.0761,431.5984,432.0977,432.5751,433.0925,433.6195,434.1319,434.6415,435.1329,435.6273,436.2277,436.7342,437.2983,437.8116,438.3062,438.8728,439.4348,439.9631,440.4873,440.9922,441.5055,441.9986,442.5806,443.0959,443.6330,444.1502,444.6963,445.2083,445.6739,446.2333,446.7556,447.2708,447.8179,448.2733,448.7040,449.2349,449.7273,450.3348,451.0189,451.5354,452.0685,452.5685,453.0914,453.6227,454.1531,454.6931,455.2195,455.7953,456.2966,456.8238,457.3259,457.8230,458.3889,458.9298,459.4864,460.0178,460.5383,461.0503,461.6027,462.1390,462.6423,463.1711,463.7175,464.2650,464.7808,465.2914,465.8152,466.3365,466.8697,467.4181,467.9387,468.4695,468.9990,469.5101,470.0230,470.5588,471.0895,471.6272,472.1931,472.6885,473.2127,473.6917,474.2046,474.7532,475.3095,475.8364,476.3742,476.8554,477.3909,477.8766,478.3867,478.9028,479.4638,479.9792,480.5292,481.0605,481.5685,482.1104,482.5818,483.5818,484.5408
