Key,Value
BPM,60.0000
StartTime,2.6634
scoreCounter,2.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,4.3610,5.8461
Mean Interval List,0.0000,0.9490
Timestamps,0.9299,1.1832,1.3549,1.5189,1.6894,1.8589,2.0563,2.2594,2.4571,2.6634,2.7487,3.3439,5.5826,5.7576,5.9462,6.1118
Player1OnsetTimes,3.7979,5.8686
Player2OnsetTimes,4.5082,6.0563
Player3OnsetTimes,4.5082,6.0563
Player4OnsetTimes,4.1648,5.7187
Player5OnsetTimes,3.8921,5.9837
Player6OnsetTimes,4.6157,5.6579
Player7OnsetTimes,4.2523,5.8192
Player8OnsetTimes,4.0088,5.5693
Player9OnsetTimes,5.0980,5.6191
Player10OnsetTimes,3.9209,5.9957
Player11OnsetTimes,4.4058,5.9837
Player12OnsetTimes,5.5406,6.0563
Player13OnsetTimes,3.9209,5.9957
Player14OnsetTimes,3.9596,6.0328
Player15OnsetTimes,4.2185,5.7810
Player16OnsetTimes,4.5225,5.5574,6.4117
Player17OnsetTimes,4.6157,5.6579
Player18OnsetTimes,3.9596,6.0328
Player19OnsetTimes,4.4426,5.9957
Player20OnsetTimes,4.0088,5.5693
Player21OnsetTimes,4.5889,5.6315
Player22OnsetTimes,4.4058,5.9837
Player23OnsetTimes,4.9095,5.9720
Player24OnsetTimes,4.0223,5.5693
Player25OnsetTimes,3.8281,5.9191
Player26OnsetTimes,4.3413,5.9191
Player27OnsetTimes,3.9065,5.9837
Player28OnsetTimes,3.9065,5.9837
Player29OnsetTimes,4.2307,5.7932
Player30OnsetTimes,3.9849,6.0563
Player31OnsetTimes,3.9970,5.5574
Player32OnsetTimes,3.9724,6.0449
Player33OnsetTimes,4.9596,5.9957
Player34OnsetTimes,4.3146,5.8686
Player35OnsetTimes,4.0223,5.5693
Player36OnsetTimes,3.8791,5.9720
Player37OnsetTimes,3.9339,6.0077
Player38OnsetTimes,4.9477,5.9837
Player39OnsetTimes,4.7257,5.7694
Player40OnsetTimes,4.0604,5.6191
Player41OnsetTimes,4.3413,5.9191
Player42OnsetTimes,4.3932,5.9720
Player43OnsetTimes,3.8560,5.9462
Player44OnsetTimes,3.9209,5.9957
Player45OnsetTimes,5.4889,6.0077,6.1474
Player46OnsetTimes,4.6029,5.6452
Player47OnsetTimes,3.9970,5.5574
Player48OnsetTimes,3.9209,5.9957
Player49OnsetTimes,5.4498,5.9720,6.1474
Player50OnsetTimes,3.8560,5.9462
Player51OnsetTimes,5.4889,6.0077,6.1474
Player52OnsetTimes,3.8921,5.9837
Player53OnsetTimes,3.9596,6.0328
Player54OnsetTimes,4.5491,5.5826,6.4117
Player55OnsetTimes,5.0233,5.5406
Player56OnsetTimes,4.2185,5.7810
Player57OnsetTimes,4.1242,5.6819
Player58OnsetTimes,4.6157,5.6579
Player59OnsetTimes,4.6278,5.6696
Player60OnsetTimes,4.7868,5.8192
Player61OnsetTimes,3.8560,5.9462
Player62OnsetTimes,3.8791,5.9720
Player63OnsetTimes,4.1369,5.6940
Player64OnsetTimes,4.0088,5.5693
Player65OnsetTimes,4.0088,5.5693
Player66OnsetTimes,3.9724,6.0449
Player67OnsetTimes,4.2307,5.7932
Player68OnsetTimes,4.9723,6.0077
Player69OnsetTimes,4.3800,5.9462
Player70OnsetTimes,3.8921,5.9837
Player71OnsetTimes,4.9968,6.0328
Player72OnsetTimes,5.3668,5.8815,6.1118
Player73OnsetTimes,4.4680,6.0208
Player74OnsetTimes,5.4199,5.9462,6.1353
Player75OnsetTimes,4.0223,5.5693
Player76OnsetTimes,3.9339,6.0077
Player77OnsetTimes,4.7511,5.7932
Player78OnsetTimes,4.3932,5.9720
Player79OnsetTimes,3.8791,5.9720
Player80OnsetTimes,4.1786,5.7434
Player81OnsetTimes,3.8560,5.9462
Player82OnsetTimes,4.1369,5.6940
Player83OnsetTimes,4.1513,5.7067
Player84OnsetTimes,4.8725,5.9462
Player85OnsetTimes,5.1516,5.6696,6.0563
Player86OnsetTimes,4.9477,5.9837
Player87OnsetTimes,4.0971,5.6579
Player88OnsetTimes,3.9209,5.9957
Player89OnsetTimes,5.0732,5.5949
Player90OnsetTimes,4.0347,5.5826
Player91OnsetTimes,3.8791,5.9720
Player92OnsetTimes,4.6404,5.6819
Player93OnsetTimes,4.5758,5.6191,6.4117
Player94OnsetTimes,4.9477,5.9837
Player95OnsetTimes,4.2647,5.8192
Player96OnsetTimes,4.9477,5.9837
