Key,Value
BPM,60.0000
StartTime,83.2562
scoreCounter,27.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0060
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,84.9439,86.8308,87.9275,89.0897,90.1281,91.3260,92.3644,93.4893,94.5168,95.5807,96.6013,97.6225,98.6420,99.6606,100.6798,101.7044,102.7270,103.7515,104.7765,105.8008,106.8226,107.8470,108.8798,109.9043,110.9274,111.9463,112.9668
Mean Interval List,0.0000,1.0604,1.0181,1.0123,1.0099,1.0119,1.0029,1.0030,0.9940,0.9938,0.9945,0.9933,0.9932,0.9940,0.9991,0.9968,0.9982,0.9969,0.9969,0.9970,0.9978,0.9998,0.9977,0.9995,0.9961,0.9962,0.9985
Timestamps,73.0746,74.2102,76.2471,77.1218,78.1369,79.1437,80.1966,81.2194,82.2370,83.2562,84.1071,85.1509,86.1492,87.1893,88.1705,89.2835,90.3625,91.3790,92.4192,93.3641,94.3894,95.4662,96.4627,97.4838,98.5181,99.6391,100.6127,101.6653,102.6617,103.6862,104.7150,105.7535,106.8159,107.7981,108.8683,109.8243,110.8502,111.9152,112.9919
