Key,Value
BPM,120.0000
StartTime,0.0000
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,45.8140,47.9097,48.5931,49.2187,49.7569,50.2952,50.8294,51.3595,51.8878,52.4152,52.9392,53.4661,53.9945,54.5256,55.0586,55.5890,56.1195,56.6475,57.1776,57.7061,58.2354,58.7611,59.2874
Mean Interval List,0.0000,0.6382,0.4782,0.5146,0.5075,0.5070,0.5067,0.5036,0.5028,0.4996,0.5007,0.5038,0.5070,0.5067,0.5051,0.5015,0.5016,0.5036,0.5035,0.5003,0.4969,0.4989,0.5008
Timestamps,39.3141,39.9696,40.4562,40.9957,41.5095,42.0690,42.6021,43.1282,43.6088,44.1138,44.5078,45.0906,45.6370,46.1802,46.6897,47.1945,47.6903,48.2154,48.7381,49.2921,49.8253,50.3604,50.8636,51.3864,51.8824,52.4205,52.9756,53.5347,54.0597,54.5746,55.0718,55.6033,56.1536,56.6804,57.1788,57.6733,58.2228,58.7673,59.2764
