Key,Value
BPM,60.0000
StartTime,0.0000
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,9.4581,11.6985,12.8641,13.8782,14.9145,15.9206,16.9167,17.9072,18.8935,19.8844,20.8745,21.9827,23.0942,24.2028,25.3071,26.4061,27.5043
Mean Interval List,0.0000,1.1420,0.9901,1.0135,0.9829,0.9732,0.9670,0.9628,0.9666,0.9676,1.0841,1.0889,1.0852,1.0789,1.0735,1.0751,1.0689
Timestamps,2.3311,2.8226,3.4148,3.9750,4.6470,5.3025,5.9353,6.5406,7.1731,7.7344,8.3956,9.0100,9.6292,10.2531,10.8766,11.5985,12.2604,12.9973,13.7061,14.6454,15.5904,16.5444,17.5731,18.5694,20.7247,21.7624,22.8323,23.8799,24.9345,26.0534,27.0899,28.0349
