Key,Value
BPM,60.0000
StartTime,24.7268
scoreCounter,2.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,No mean onset values recorded.
Mean Interval List,No mean interval values recorded.
Timestamps,16.0581,16.9805,18.0012,19.1135,20.1207,21.2095,22.2749,23.1865,24.0691,24.7268,25.3864,25.7299
Player1OnsetTimes,25.9168
Player2OnsetTimes,25.9327
Player3OnsetTimes,No PlayerOnsetTimes recorded.
Player4OnsetTimes,No PlayerOnsetTimes recorded.
Player5OnsetTimes,No PlayerOnsetTimes recorded.
Player6OnsetTimes,No PlayerOnsetTimes recorded.
Player7OnsetTimes,26.0247
Player8OnsetTimes,26.0247
Player9OnsetTimes,26.0429
Player10OnsetTimes,No PlayerOnsetTimes recorded.
Player11OnsetTimes,25.9327
Player12OnsetTimes,No PlayerOnsetTimes recorded.
Player13OnsetTimes,26.0429
Player14OnsetTimes,No PlayerOnsetTimes recorded.
Player15OnsetTimes,25.9634
Player16OnsetTimes,No PlayerOnsetTimes recorded.
Player17OnsetTimes,No PlayerOnsetTimes recorded.
Player18OnsetTimes,No PlayerOnsetTimes recorded.
Player19OnsetTimes,No PlayerOnsetTimes recorded.
Player20OnsetTimes,No PlayerOnsetTimes recorded.
Player21OnsetTimes,No PlayerOnsetTimes recorded.
Player22OnsetTimes,No PlayerOnsetTimes recorded.
Player23OnsetTimes,No PlayerOnsetTimes recorded.
Player24OnsetTimes,25.9327
Player25OnsetTimes,No PlayerOnsetTimes recorded.
Player26OnsetTimes,26.0247
Player27OnsetTimes,No PlayerOnsetTimes recorded.
Player28OnsetTimes,No PlayerOnsetTimes recorded.
Player29OnsetTimes,No PlayerOnsetTimes recorded.
Player30OnsetTimes,No PlayerOnsetTimes recorded.
Player31OnsetTimes,25.9168
Player32OnsetTimes,No PlayerOnsetTimes recorded.
Player33OnsetTimes,No PlayerOnsetTimes recorded.
Player34OnsetTimes,No PlayerOnsetTimes recorded.
Player35OnsetTimes,26.0093
Player36OnsetTimes,No PlayerOnsetTimes recorded.
Player37OnsetTimes,No PlayerOnsetTimes recorded.
Player38OnsetTimes,25.9483
Player39OnsetTimes,No PlayerOnsetTimes recorded.
Player40OnsetTimes,No PlayerOnsetTimes recorded.
Player41OnsetTimes,25.8862
Player42OnsetTimes,No PlayerOnsetTimes recorded.
Player43OnsetTimes,25.9017
Player44OnsetTimes,No PlayerOnsetTimes recorded.
Player45OnsetTimes,No PlayerOnsetTimes recorded.
Player46OnsetTimes,No PlayerOnsetTimes recorded.
Player47OnsetTimes,25.9168
Player48OnsetTimes,No PlayerOnsetTimes recorded.
Player49OnsetTimes,No PlayerOnsetTimes recorded.
Player50OnsetTimes,No PlayerOnsetTimes recorded.
Player51OnsetTimes,No PlayerOnsetTimes recorded.
Player52OnsetTimes,No PlayerOnsetTimes recorded.
Player53OnsetTimes,No PlayerOnsetTimes recorded.
Player54OnsetTimes,25.8862
Player55OnsetTimes,No PlayerOnsetTimes recorded.
Player56OnsetTimes,25.9327
Player57OnsetTimes,No PlayerOnsetTimes recorded.
Player58OnsetTimes,No PlayerOnsetTimes recorded.
Player59OnsetTimes,No PlayerOnsetTimes recorded.
Player60OnsetTimes,No PlayerOnsetTimes recorded.
Player61OnsetTimes,No PlayerOnsetTimes recorded.
Player62OnsetTimes,No PlayerOnsetTimes recorded.
Player63OnsetTimes,No PlayerOnsetTimes recorded.
Player64OnsetTimes,No PlayerOnsetTimes recorded.
Player65OnsetTimes,No PlayerOnsetTimes recorded.
Player66OnsetTimes,No PlayerOnsetTimes recorded.
Player67OnsetTimes,No PlayerOnsetTimes recorded.
Player68OnsetTimes,No PlayerOnsetTimes recorded.
Player69OnsetTimes,26.0093
Player70OnsetTimes,No PlayerOnsetTimes recorded.
Player71OnsetTimes,No PlayerOnsetTimes recorded.
Player72OnsetTimes,No PlayerOnsetTimes recorded.
Player73OnsetTimes,No PlayerOnsetTimes recorded.
Player74OnsetTimes,No PlayerOnsetTimes recorded.
Player75OnsetTimes,25.9943
Player76OnsetTimes,25.9634
Player77OnsetTimes,25.9483
Player78OnsetTimes,No PlayerOnsetTimes recorded.
Player79OnsetTimes,25.9168
Player80OnsetTimes,25.8703
Player81OnsetTimes,No PlayerOnsetTimes recorded.
Player82OnsetTimes,No PlayerOnsetTimes recorded.
Player83OnsetTimes,26.0247
Player84OnsetTimes,No PlayerOnsetTimes recorded.
Player85OnsetTimes,25.9785
Player86OnsetTimes,No PlayerOnsetTimes recorded.
Player87OnsetTimes,No PlayerOnsetTimes recorded.
Player88OnsetTimes,No PlayerOnsetTimes recorded.
Player89OnsetTimes,No PlayerOnsetTimes recorded.
Player90OnsetTimes,25.9483
Player91OnsetTimes,No PlayerOnsetTimes recorded.
Player92OnsetTimes,No PlayerOnsetTimes recorded.
Player93OnsetTimes,No PlayerOnsetTimes recorded.
Player94OnsetTimes,25.9943
Player95OnsetTimes,26.0093
Player96OnsetTimes,No PlayerOnsetTimes recorded.
