Key,Value
BPM,120.0000
StartTime,0.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0100
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,10.0878,11.9198,12.6185,13.4310,13.9905,14.9020,15.4977,16.1626,16.9151,17.6996,18.5108,19.3838,20.2530,20.9463,21.8289,22.6689,23.4141,24.3259,25.1456,25.9544,26.8158,27.5783,28.4291,29.2639,30.0992,30.9135,31.7623,32.6243,33.4958,34.2597
Mean Interval List,0.0000,0.5132,0.5000,0.5040,0.5014,0.5018,0.4983,0.5030,0.5011,0.5029,0.5055,0.5023,0.5042,0.5009,0.5045,0.5011,0.5026,0.5062,0.5022,0.5053,0.5027,0.5044,0.5019,0.5038,0.5009,0.5033,0.5060,0.5033,0.5046,0.5009
Timestamps,3.7310,4.2646,4.8223,5.3658,5.8992,6.4223,6.9277,7.4130,7.9159,8.4023,8.8404,9.3617,9.8539,10.3789,10.8923,11.3978,11.9069,12.4282,13.0049,13.5517,14.1541,14.7155,15.3008,15.7753,16.2549,16.6919,17.1766,17.6800,18.2218,18.7071,19.2600,19.7706,20.3122,20.8294,21.3545,21.8980,22.4029,22.8856,23.4186,23.9813,24.4935,25.0180,25.6184,26.1678,26.6776,27.1935,27.7016,28.1904,28.7475,29.2930,29.8324,30.3621,30.9256,31.4450,32.0170,32.5085,33.0031,33.5095,34.0141,34.5069
