Key,Value
BPM,60.0000
StartTime,10.0317
scoreCounter,34.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,11.6816,13.4458,14.5078,15.5412,16.5526,17.5631,18.6218,19.6967,20.7606,21.8224,22.8822,23.9411,24.9992,26.0645,27.1208,28.1687,29.2146,30.2558,31.2977,32.3360,33.3758,34.4123,35.4465,36.4786,37.5150,38.5520,39.5835,40.6175,41.6529,42.6838,43.7135,44.7363,45.7589,46.7843
Mean Interval List,0.0000,1.0261,0.9897,0.9877,0.9862,1.0351,1.0365,1.0393,1.0382,1.0359,1.0355,1.0359,1.0415,1.0340,1.0239,1.0195,1.0188,1.0179,1.0162,1.0159,1.0130,1.0135,1.0133,1.0121,1.0133,1.0099,1.0118,1.0111,1.0054,1.0045,1.0008,1.0016,1.0000,1.0010
Timestamps,0.4879,1.4245,2.5307,3.9325,4.9349,6.0019,6.9900,8.0746,9.0410,10.0317,11.0049,12.2023,13.2385,14.2616,15.2655,16.2288,17.2538,18.2910,19.4040,20.4555,21.4721,22.5241,23.5906,24.7606,25.6671,26.5291,27.4958,28.5285,29.5567,30.5635,31.5986,32.5782,33.6281,34.6589,35.6690,36.7258,37.6941,38.7670,39.7849,40.7037,41.7223,42.6794,43.7248,44.7153,45.7577,46.8228
Player1OnsetTimes,12.0765,13.6505,14.4119,15.2655,16.3392,17.5405,18.7498,19.8430,20.8108,21.7589,22.7771,23.8738,25.0135,26.1248,27.1631,28.1726,29.1864,30.2271,31.2798,32.3363,33.3839,34.4172,35.4517,36.4793,37.5140,38.5483,39.5777,40.6104,41.6401,42.6794,43.7086,44.7302,45.7577,46.7903
Player2OnsetTimes,11.1767,13.2844,14.6983,15.8300,16.7010,17.5092,18.4673,19.5629,20.7322,21.9008,22.9785,23.9827,24.9666,26.0004,27.0866,28.1870,29.2509,30.2877,31.3098,32.3363,33.3693,34.4022,35.4517,36.4946,37.5294,38.5637,39.5928,40.6254,41.6563,42.6794,43.7086,44.7302,45.7577,46.7903
Player3OnsetTimes,11.4060,13.5074,14.7615,15.7361,16.5589,17.4274,18.4828,19.6408,20.8108,21.9162,22.9476,23.9357,24.9516,26.0163,27.1018,28.1870,29.2509,30.2731,31.2798,32.3049,33.3541,34.4172,35.4690,36.4946,37.5140,38.5327,39.5624,40.6104,41.6563,42.6948,43.7248,44.7454,45.7577,46.7746
Player4OnsetTimes,11.5918,13.6976,14.8089,15.6424,16.4323,17.3656,18.5157,19.7219,20.8574,21.9008,22.8848,23.8894,24.9363,26.0330,27.1333,28.2016,29.2347,30.2577,31.2798,32.3207,33.3693,34.4172,35.4517,36.4793,37.5140,38.5483,39.5777,40.6104,41.6401,42.6794,43.7086,44.7302,45.7577,46.7903
Player5OnsetTimes,11.2850,13.3673,14.7137,15.7836,16.6542,17.4937,18.4828,19.5935,20.7627,21.9008,22.9627,23.9668,24.9666,26.0163,27.1018,28.1870,29.2509,30.2731,31.2951,32.3207,33.3693,34.4172,35.4517,36.4793,37.5140,38.5483,39.5777,40.6104,41.6563,42.6948,43.7248,44.7454,45.7577,46.7746
Player6OnsetTimes,11.3750,13.4752,14.7454,15.7361,16.5747,17.4424,18.4828,19.6251,20.7941,21.9008,22.9317,23.9357,24.9516,26.0163,27.1018,28.1870,29.2509,30.2731,31.2951,32.3207,33.3693,34.4172,35.4517,36.4793,37.5140,38.5483,39.5777,40.6104,41.6563,42.6948,43.7248,44.7454,45.7577,46.7746
Player7OnsetTimes,11.9024,13.4752,14.3571,15.3421,16.4643,17.6217,18.7498,19.7696,20.7322,21.7432,22.8230,23.9357,25.0442,26.1093,27.1333,28.1414,29.1699,30.2271,31.2951,32.3512,33.3987,34.4172,35.4366,36.4640,37.5140,38.5637,39.5928,40.6254,41.6563,42.6794,43.7086,44.7302,45.7577,46.7903
Player8OnsetTimes,11.8529,13.4143,14.3416,15.3753,16.5116,17.6368,18.7197,19.7219,20.7166,21.7589,22.8535,23.9668,25.0442,26.0942,27.1184,28.1414,29.1864,30.2420,31.3098,32.3664,33.3987,34.4172,35.4366,36.4640,37.5140,38.5637,39.5928,40.6254,41.6563,42.6794,43.7086,44.7302,45.7577,46.7903
Player9OnsetTimes,12.2657,13.3153,13.9389,15.0461,16.4643,17.8363,18.9674,19.8430,20.6535,21.6169,22.7610,23.9668,25.1227,26.1726,27.1476,28.1113,29.1395,30.2271,31.3248,32.3810,33.3987,34.4022,35.4218,36.4640,37.5140,38.5637,39.5928,40.6254,41.6563,42.6794,43.7086,44.7302,45.7577,46.7903
Player10OnsetTimes,11.2388,13.3513,14.7299,15.8149,16.6699,17.4774,18.4522,19.5786,20.7627,21.9162,22.9785,23.9668,24.9516,26.0004,27.0866,28.1870,29.2509,30.2877,31.3098,32.3207,33.3541,34.4022,35.4517,36.4946,37.5294,38.5483,39.5777,40.6104,41.6563,42.6948,43.7248,44.7454,45.7577,46.7746
