Key,Value
BPM,60.0000
StartTime,123.3359
scoreCounter,28.0000
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,124.9400,126.6892,127.8770,128.9704,130.0459,131.1138,132.1916,133.2637,134.3282,135.3835,136.4312,137.4776,138.5286,139.5787,140.6154,141.6573,142.6998,143.7256,144.7538,145.7830,146.8331,147.8794,148.9214,149.9604,150.9967,152.0282,153.0580,154.0852
Mean Interval List,0.0000,1.1398,1.0680,1.0508,1.0410,1.0503,1.0470,1.0394,1.0298,1.0199,1.0224,1.0273,1.0222,1.0146,1.0117,1.0120,1.0052,1.0066,1.0049,1.0211,1.0195,1.0166,1.0138,1.0099,1.0048,1.0032,0.9997,1.0019
Timestamps,114.3400,115.3251,116.3357,117.3711,118.4057,119.4223,120.3995,121.3625,122.3577,123.3359,124.2632,125.2582,126.3370,127.3668,128.3826,129.3771,130.5454,131.5802,132.5814,133.5567,134.5221,135.6028,136.6987,137.6941,138.6685,139.6904,140.7292,141.7037,142.7596,143.7684,144.9588,145.9719,146.9921,148.0101,149.0134,150.0020,151.0220,152.0188,153.0703,154.0870
