Key,Value
BPM,60.0000
StartTime,2.6212
scoreCounter,1.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,No mean onset values recorded.
Mean Interval List,No mean interval values recorded.
Timestamps,1.1943,1.3672,1.5416,1.7124,1.8728,2.0393,2.1873,2.3360,2.4811,2.6212,3.3470
Player1OnsetTimes,No PlayerOnsetTimes recorded.
Player2OnsetTimes,No PlayerOnsetTimes recorded.
Player3OnsetTimes,No PlayerOnsetTimes recorded.
Player4OnsetTimes,No PlayerOnsetTimes recorded.
Player5OnsetTimes,No PlayerOnsetTimes recorded.
Player6OnsetTimes,No PlayerOnsetTimes recorded.
Player7OnsetTimes,No PlayerOnsetTimes recorded.
Player8OnsetTimes,No PlayerOnsetTimes recorded.
Player9OnsetTimes,No PlayerOnsetTimes recorded.
Player10OnsetTimes,No PlayerOnsetTimes recorded.
Player11OnsetTimes,No PlayerOnsetTimes recorded.
Player12OnsetTimes,No PlayerOnsetTimes recorded.
Player13OnsetTimes,No PlayerOnsetTimes recorded.
Player14OnsetTimes,3.8768
Player15OnsetTimes,No PlayerOnsetTimes recorded.
Player16OnsetTimes,No PlayerOnsetTimes recorded.
Player17OnsetTimes,No PlayerOnsetTimes recorded.
Player18OnsetTimes,No PlayerOnsetTimes recorded.
Player19OnsetTimes,No PlayerOnsetTimes recorded.
Player20OnsetTimes,3.7697
Player21OnsetTimes,No PlayerOnsetTimes recorded.
Player22OnsetTimes,No PlayerOnsetTimes recorded.
Player23OnsetTimes,No PlayerOnsetTimes recorded.
Player24OnsetTimes,3.8394
Player25OnsetTimes,No PlayerOnsetTimes recorded.
Player26OnsetTimes,No PlayerOnsetTimes recorded.
Player27OnsetTimes,No PlayerOnsetTimes recorded.
Player28OnsetTimes,No PlayerOnsetTimes recorded.
Player29OnsetTimes,No PlayerOnsetTimes recorded.
Player30OnsetTimes,3.8768
Player31OnsetTimes,No PlayerOnsetTimes recorded.
Player32OnsetTimes,No PlayerOnsetTimes recorded.
Player33OnsetTimes,3.8281
Player34OnsetTimes,No PlayerOnsetTimes recorded.
Player35OnsetTimes,No PlayerOnsetTimes recorded.
Player36OnsetTimes,3.7584
Player37OnsetTimes,No PlayerOnsetTimes recorded.
Player38OnsetTimes,No PlayerOnsetTimes recorded.
Player39OnsetTimes,No PlayerOnsetTimes recorded.
Player40OnsetTimes,3.8047
Player41OnsetTimes,No PlayerOnsetTimes recorded.
Player42OnsetTimes,No PlayerOnsetTimes recorded.
Player43OnsetTimes,No PlayerOnsetTimes recorded.
Player44OnsetTimes,3.7812
Player45OnsetTimes,No PlayerOnsetTimes recorded.
Player46OnsetTimes,No PlayerOnsetTimes recorded.
Player47OnsetTimes,No PlayerOnsetTimes recorded.
Player48OnsetTimes,No PlayerOnsetTimes recorded.
Player49OnsetTimes,No PlayerOnsetTimes recorded.
Player50OnsetTimes,No PlayerOnsetTimes recorded.
Player51OnsetTimes,No PlayerOnsetTimes recorded.
Player52OnsetTimes,No PlayerOnsetTimes recorded.
Player53OnsetTimes,3.7697
Player54OnsetTimes,3.8514
Player55OnsetTimes,No PlayerOnsetTimes recorded.
Player56OnsetTimes,No PlayerOnsetTimes recorded.
Player57OnsetTimes,No PlayerOnsetTimes recorded.
Player58OnsetTimes,No PlayerOnsetTimes recorded.
Player59OnsetTimes,3.8768
Player60OnsetTimes,3.7219
Player61OnsetTimes,No PlayerOnsetTimes recorded.
Player62OnsetTimes,No PlayerOnsetTimes recorded.
Player63OnsetTimes,No PlayerOnsetTimes recorded.
Player64OnsetTimes,3.7584
Player65OnsetTimes,No PlayerOnsetTimes recorded.
Player66OnsetTimes,No PlayerOnsetTimes recorded.
Player67OnsetTimes,No PlayerOnsetTimes recorded.
Player68OnsetTimes,3.8047
Player69OnsetTimes,No PlayerOnsetTimes recorded.
Player70OnsetTimes,No PlayerOnsetTimes recorded.
Player71OnsetTimes,3.7928
Player72OnsetTimes,3.8768
Player73OnsetTimes,No PlayerOnsetTimes recorded.
Player74OnsetTimes,No PlayerOnsetTimes recorded.
Player75OnsetTimes,No PlayerOnsetTimes recorded.
Player76OnsetTimes,No PlayerOnsetTimes recorded.
Player77OnsetTimes,No PlayerOnsetTimes recorded.
Player78OnsetTimes,No PlayerOnsetTimes recorded.
Player79OnsetTimes,No PlayerOnsetTimes recorded.
Player80OnsetTimes,No PlayerOnsetTimes recorded.
Player81OnsetTimes,No PlayerOnsetTimes recorded.
Player82OnsetTimes,No PlayerOnsetTimes recorded.
Player83OnsetTimes,No PlayerOnsetTimes recorded.
Player84OnsetTimes,No PlayerOnsetTimes recorded.
Player85OnsetTimes,No PlayerOnsetTimes recorded.
Player86OnsetTimes,3.8394
Player87OnsetTimes,No PlayerOnsetTimes recorded.
Player88OnsetTimes,No PlayerOnsetTimes recorded.
Player89OnsetTimes,3.8281
Player90OnsetTimes,3.8394
Player91OnsetTimes,No PlayerOnsetTimes recorded.
Player92OnsetTimes,No PlayerOnsetTimes recorded.
Player93OnsetTimes,No PlayerOnsetTimes recorded.
Player94OnsetTimes,3.8768
Player95OnsetTimes,No PlayerOnsetTimes recorded.
Player96OnsetTimes,No PlayerOnsetTimes recorded.
