Key,Value
BPM,60.0000
StartTime,223.8928
scoreCounter,106.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0100
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,0.0000
Mean Onset List,225.5889,227.7238,228.8323,230.0040,231.0312,232.3936,233.4518,234.5272,235.5507,236.7579,237.8312,239.2267,240.4142,241.7113,242.9597,244.4820,245.9317,247.1938,248.5474,250.0316,251.8951,253.2928,254.5779,256.0012,257.0977,258.3507,259.3900,260.8641,262.2529,263.4946,264.8033,266.5248,268.1966,269.4507,270.7161,272.3478,273.9353,275.3595,276.5714,277.8784,279.5482,281.0377,282.2853,283.7208,285.0379,286.8208,288.2924,289.4882,290.9763,292.3756,293.5524,295.3279,296.7524,298.0390,299.4360,300.8140,302.5740,304.0492,305.5467,306.8392,308.4115,309.9688,311.4118,312.7120,314.2537,315.6502,317.2815,318.8072,320.0430,321.6908,323.1402,324.4233,325.8870,327.3860,329.0760,330.5416,331.8183,333.4573,334.7962,335.9793,337.4080,338.8331,340.1944,341.4880,342.7949,344.0024,345.2207,346.3235,348.0456,349.2684,350.3143,351.9436,353.4727,355.1284,356.4941,357.8928,359.3437,360.6905,362.1361,363.9193,365.3150,366.5633,368.4184,370.0237,371.3833,372.6326
Mean Interval List,0.0000,1.0145,1.0036,1.0031,1.0016,1.0014,0.9977,0.9969,0.9965,1.0071,1.0053,1.0046,1.0012,0.9993,1.0065,1.0047,0.9996,1.0058,1.0036,1.0110,1.0068,0.9980,1.0040,1.0012,0.9978,1.0077,1.0042,1.0046,1.0002,1.0065,1.0047,1.0122,1.0057,0.9989,1.0076,1.0054,1.0090,1.0036,1.0092,1.0076,1.0053,1.0092,1.0040,1.0025,1.0083,1.0054,1.0080,1.0037,1.0019,1.0080,1.0044,1.0126,1.0054,1.0012,1.0090,1.0053,1.0129,1.0057,1.0012,1.0058,1.0040,1.0085,1.0028,1.0092,1.0068,1.0123,1.0086,1.0027,1.0078,1.0055,1.0096,1.0054,1.0117,1.0080,1.0031,1.0070,1.0027,1.0104,1.0050,1.0017,1.0105,1.0080,1.0032,1.0100,1.0075,1.0049,1.0020,1.0113,1.0102,1.0037,1.0004,1.0098,1.0038,1.0095,1.0034,1.0115,1.0083,1.0041,1.0105,1.0068,1.0088,1.0051,1.0125,1.0045,1.0094,1.0054
Timestamps,214.8799,215.8393,216.8456,217.8658,218.8732,219.9273,220.8854,221.9300,222.9033,223.8928,224.7858,225.9706,227.0269,228.0679,229.1211,230.1387,231.1486,232.1457,233.1272,234.1619,235.2058,236.2372,237.2598,238.2569,239.3202,240.3108,241.3660,242.3226,243.3927,244.3993,245.4772,246.4709,247.5083,248.5681,249.5865,250.6480,251.6294,252.6131,253.6295,254.6274,255.7205,256.7130,257.7928,258.6988,259.7740,260.8095,261.8174,262.8189,263.8794,264.9171,265.9302,266.9892,267.9909,269.0214,270.1013,271.1467,272.1666,273.1321,274.1780,275.1624,276.1534,277.1936,278.2725,279.2813,280.3179,281.2859,282.3820,283.3675,284.3977,285.4166,286.4559,287.4502,288.4926,289.5128,290.5703,291.6054,292.6420,293.6195,294.6220,295.6716,296.6837,297.7394,298.7394,299.7609,300.8757,301.8875,302.9259,303.9500,304.9507,305.9090,307.0157,307.9828,309.0312,310.0228,311.0505,312.0980,313.1534,314.1775,315.2374,316.2563,317.2981,318.2952,319.3221,320.3304,321.3591,322.3772,323.4037,324.3316,325.3091,326.3971,327.4114,328.4384,329.4837,330.5242,331.5282,332.5611,333.6603,334.6674,335.6864,336.7249,337.8960,338.8426,339.8550,340.8736,341.9164,342.9619,343.8834,344.9311,346.0164,347.0033,348.0740,348.9768,349.9131,350.9560,351.9790,353.0702,354.0793,355.1256,356.1507,357.2856,358.3618,359.3907,360.4115,361.3766,362.4478,363.4012,364.4254,365.4499,366.3984,367.4309,368.4850,369.5313,370.5711,371.5327,372.5220,373.5503,374.5091
