Key,Value
BPM,60.0000
StartTime,164.4874
scoreCounter,46.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0060
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,166.0988,168.2574,169.3738,170.4489,171.4841,172.5136,173.5428,174.5668,175.5983,176.6319,177.6608,178.6888,179.7190,180.7478,181.7788,182.8109,183.8388,184.8635,185.8911,186.9238,187.9578,188.9819,190.0121,191.0430,192.0775,193.1110,194.1379,195.1675,196.1957,197.2222,198.2558,199.2847,200.3152,201.3435,202.3772,203.4072,204.4362,205.4623,206.4834,207.5094,208.5406,209.5709,210.5963,211.6245,212.6539,213.6842
Mean Interval List,0.0000,1.0726,1.0168,1.0096,1.0032,1.0041,1.0000,1.0035,1.0074,1.0038,1.0036,1.0033,1.0039,1.0061,1.0053,1.0043,1.0005,1.0035,1.0026,1.0052,0.9998,1.0058,1.0056,1.0073,1.0068,1.0032,1.0037,1.0044,1.0039,1.0040,1.0020,1.0053,1.0028,1.0054,1.0042,1.0001,1.0017,0.9998,1.0025,1.0047,1.0028,1.0020,1.0031,1.0017,1.0046,1.0064
Timestamps,155.5314,156.4544,157.4272,158.4678,159.3892,160.4605,161.4160,162.5557,163.3975,164.4874,165.3649,166.4834,167.5488,168.5907,169.5627,170.5092,171.5627,172.5102,173.6082,174.7097,175.6687,176.6995,177.7227,178.7617,179.8359,180.8476,181.8585,182.8159,183.9033,184.9089,185.9890,186.9133,188.0670,189.0877,190.1515,191.1721,192.1334,193.1770,194.2187,195.2369,196.2677,197.2537,198.3533,199.3329,200.4144,201.4186,202.3708,203.4335,204.4237,205.5032,206.5686,207.5562,208.5722,209.6246,210.6210,211.7079,212.7720,213.6536
