Key,Value
BPM,60.0000
StartTime,15.2003
scoreCounter,53.0000
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,16.8341,18.9962,20.1562,21.2025,22.2395,23.2666,24.2924,25.3131,26.3309,27.3489,28.3728,29.3898,30.4073,31.4303,32.4619,33.4967,34.5217,35.5462,36.5727,37.6030,38.6325,39.6662,40.6932,41.7125,42.7349,43.7670,44.7957,45.8270,46.8540,47.8750,48.9008,49.9246,50.9573,51.9848,53.0103,54.0429,55.0703,56.1041,57.1296,58.1554,59.1875,60.2159,61.2427,62.2715,63.3023,64.3347,65.3638,66.3873,67.4152,68.4530,69.4840,70.5199,71.5514
Mean Interval List,0.0000,1.1403,1.0258,1.0157,1.0068,1.0067,0.9997,0.9971,0.9996,1.0020,0.9960,0.9970,1.0003,1.0115,1.0070,1.0001,1.0021,1.0036,1.0071,0.9978,1.0043,1.0010,0.9996,1.0000,1.0035,1.0045,1.0083,1.0033,0.9982,0.9962,0.9978,0.9994,0.9994,0.9996,1.0020,1.0071,1.0056,0.9985,0.9952,0.9992,1.0063,0.9992,1.0041,1.0059,1.0005,1.0051,1.0000,1.0012,1.0097,1.0046,1.0136,1.0064,0.9974
Timestamps,6.1211,6.5804,7.1782,8.2710,9.2364,10.2264,11.1457,13.1746,14.1605,15.2003,16.1578,17.2209,18.2361,19.2525,20.3118,21.2689,22.3049,23.2614,24.2618,25.3071,26.3494,27.3068,28.3414,29.3911,30.5202,31.4984,32.4612,33.5161,34.5558,35.6146,36.5488,37.6434,38.6399,39.6599,40.6909,41.7449,42.7773,43.8478,44.8259,45.8062,46.8140,47.8503,48.8929,49.9166,50.9508,52.0030,53.0786,54.0964,55.0526,56.0537,57.1187,58.2156,59.1774,60.2541,61.2990,62.2742,63.3509,64.3318,65.3731,66.4817,67.4583,68.5862,69.5456,70.4916,71.4778
