Key,Value
BPM,120.0000
StartTime,0.0000
Alpha,Medium
alphaUser,0.0100
alphaAuto,0.0060
AudioGudance,0.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,66.5346,68.5207,69.2103,69.8136,70.4418,71.2474,71.8645,72.4175,73.0699,73.6815,74.5248,75.1291,75.6697,76.1975,76.9058,77.4292,77.9527,78.4769,78.9991,79.5230,80.0482,80.5731,81.0993,81.6227,82.1496,82.6728,83.1968,83.7234,84.2451,84.7696,85.2950,86.3415,86.8716,87.3940,87.9201,88.4413,88.9660,89.4879,90.0090,90.5317,91.0563,91.5825
Mean Interval List,0.0000,0.5131,0.4983,0.5019,0.5013,0.5050,0.5021,0.5014,0.5012,0.4999,0.5043,0.5012,0.5003,0.4999,0.5000,0.4986,0.4986,0.4983,0.4985,0.4991,0.4993,0.4998,0.4997,0.4997,0.4995,0.4993,0.4994,0.4994,0.4995,0.4996,0.4997,0.5062,0.5009,0.4998,0.4998,0.4998,0.4998,0.5000,0.4996,0.4996,0.4996,0.4996
Timestamps,60.1658,60.6986,61.3153,61.8021,62.2557,62.7115,63.2178,63.7161,64.2406,64.7412,65.1387,65.6713,66.2336,66.7600,67.2963,67.8283,68.3426,68.8575,69.3879,69.9253,70.4241,70.9194,71.4352,71.9840,72.5156,73.0415,73.5622,74.0889,74.6176,75.1332,75.6314,76.1690,76.7389,77.2610,77.7601,78.3082,78.8856,79.4358,80.0134,80.5293,81.0489,81.5581,82.0647,82.5977,83.1248,83.6632,84.1928,84.7297,85.8950,86.4079,86.8358,87.3541,87.8826,88.4039,88.9442,89.4321,89.9548,90.4734,91.0052,91.5171
