Key,Value
BPM,60.0000
StartTime,13.8048
scoreCounter,1.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,No mean onset values recorded.
Mean Interval List,No mean interval values recorded.
Timestamps,4.9571,5.4828,6.0629,6.6344,8.1966,10.0735,11.1561,12.0550,13.0092,13.8048,14.4468,15.0211,15.5031,15.9281
Player1OnsetTimes,15.1426
Player2OnsetTimes,15.3100
Player3OnsetTimes,15.0321
Player4OnsetTimes,15.4906
Player5OnsetTimes,15.2629
Player6OnsetTimes,14.9818
Player7OnsetTimes,16.0426
Player8OnsetTimes,15.3916
Player9OnsetTimes,15.0687
Player10OnsetTimes,15.1658
Player11OnsetTimes,15.9634
Player12OnsetTimes,15.6022
Player13OnsetTimes,15.6387
Player14OnsetTimes,15.0941
Player15OnsetTimes,15.1426
Player16OnsetTimes,15.1901
Player17OnsetTimes,15.5525
Player18OnsetTimes,15.3335
Player19OnsetTimes,15.4671
Player20OnsetTimes,15.3804
Player21OnsetTimes,15.0563
Player22OnsetTimes,15.1545
Player23OnsetTimes,15.1426
Player24OnsetTimes,15.9153
Player25OnsetTimes,15.5525
Player26OnsetTimes,15.1426
Player27OnsetTimes,15.2135
Player28OnsetTimes,15.1426
Player29OnsetTimes,15.1545
Player30OnsetTimes,15.1658
Player31OnsetTimes,15.1658
Player32OnsetTimes,15.5274
Player33OnsetTimes,15.3804
Player34OnsetTimes,15.0321
Player35OnsetTimes,15.1545
Player36OnsetTimes,16.0231
Player37OnsetTimes,15.2751
Player38OnsetTimes,15.0813
Player39OnsetTimes,15.2135
Player40OnsetTimes,15.0687
Player41OnsetTimes,No PlayerOnsetTimes recorded.
Player42OnsetTimes,15.0563
Player43OnsetTimes,15.5401
Player44OnsetTimes,15.1066
Player45OnsetTimes,15.3916
Player46OnsetTimes,15.0563
Player47OnsetTimes,No PlayerOnsetTimes recorded.
Player48OnsetTimes,15.0813
Player49OnsetTimes,14.9818
Player50OnsetTimes,15.0321
Player51OnsetTimes,14.9453
Player52OnsetTimes,15.9032
Player53OnsetTimes,14.9818
Player54OnsetTimes,15.3335
Player55OnsetTimes,15.0321
Player56OnsetTimes,15.9871
Player57OnsetTimes,No PlayerOnsetTimes recorded.
Player58OnsetTimes,15.5776
Player59OnsetTimes,14.9818
Player60OnsetTimes,16.0543
Player61OnsetTimes,No PlayerOnsetTimes recorded.
Player62OnsetTimes,14.9818
Player63OnsetTimes,15.0446
Player64OnsetTimes,15.2020
Player65OnsetTimes,15.1426
Player66OnsetTimes,15.2020
Player67OnsetTimes,15.8919
Player68OnsetTimes,15.4789
Player69OnsetTimes,14.9939
Player70OnsetTimes,16.0056
Player71OnsetTimes,15.1426
Player72OnsetTimes,15.0563
Player73OnsetTimes,15.1310
Player74OnsetTimes,15.2135
Player75OnsetTimes,15.0941
Player76OnsetTimes,15.0813
Player77OnsetTimes,16.0231
Player78OnsetTimes,15.1066
Player79OnsetTimes,15.8802
Player80OnsetTimes,14.9210
Player81OnsetTimes,15.0563
Player82OnsetTimes,15.5274
Player83OnsetTimes,15.0813
Player84OnsetTimes,15.0321
Player85OnsetTimes,14.9453
Player86OnsetTimes,15.0563
Player87OnsetTimes,15.5274
Player88OnsetTimes,No PlayerOnsetTimes recorded.
Player89OnsetTimes,15.2135
Player90OnsetTimes,15.4906
Player91OnsetTimes,15.5401
Player92OnsetTimes,15.6022
Player93OnsetTimes,No PlayerOnsetTimes recorded.
Player94OnsetTimes,15.4552
Player95OnsetTimes,15.6267
Player96OnsetTimes,14.9695
